timestamp,open,high,low,close,volume,oi
2003-01-01T00:00:00+05:30,8.72,8.72,8.4,8.48,144460,0
2003-01-02T00:00:00+05:30,8.5,8.5,8.1,8.14,207480,0
2003-01-03T00:00:00+05:30,8.0,8.31,8.0,8.26,319420,0
2003-01-06T00:00:00+05:30,8.16,8.18,7.87,7.91,189640,0
2003-01-07T00:00:00+05:30,8.05,8.05,7.75,7.79,162000,0
2003-01-08T00:00:00+05:30,7.86,8.31,7.86,8.27,365780,0
2003-01-09T00:00:00+05:30,8.15,8.6,8.06,8.56,723720,0
2003-01-10T00:00:00+05:30,8.75,8.75,8.3,8.45,366880,0
2003-01-13T00:00:00+05:30,8.55,8.55,8.36,8.39,170380,0
2003-01-14T00:00:00+05:30,8.47,8.47,8.3,8.39,111480,0
2003-01-15T00:00:00+05:30,8.45,8.5,8.35,8.45,136200,0
2003-01-16T00:00:00+05:30,8.45,8.5,8.4,8.42,166260,0
2003-01-17T00:00:00+05:30,8.21,8.45,8.21,8.39,253020,0
2003-01-20T00:00:00+05:30,8.36,8.36,8.2,8.21,268840,0
2003-01-21T00:00:00+05:30,8.2,8.35,8.15,8.32,221260,0
2003-01-22T00:00:00+05:30,8.26,8.5,8.25,8.46,200140,0
2003-01-23T00:00:00+05:30,8.5,8.6,8.33,8.43,208620,0
2003-01-24T00:00:00+05:30,8.45,8.45,7.92,7.99,365660,0
2003-01-27T00:00:00+05:30,8.0,8.17,7.88,8.11,388540,0
2003-01-28T00:00:00+05:30,8.0,8.25,7.95,8.21,268060,0
2003-01-29T00:00:00+05:30,8.2,8.2,8.0,8.0,113800,0
2003-01-30T00:00:00+05:30,8.05,8.05,7.96,8.01,225180,0
2003-01-31T00:00:00+05:30,8.0,8.05,7.9,8.0,257980,0
2003-02-03T00:00:00+05:30,8.0,8.05,7.98,7.99,101640,0
2003-02-04T00:00:00+05:30,8.14,8.15,7.92,7.98,181520,0
2003-02-05T00:00:00+05:30,7.95,8.0,7.9,7.91,134580,0
2003-02-06T00:00:00+05:30,7.56,8.73,7.56,8.66,1452920,0
2003-02-07T00:00:00+05:30,9.0,10.3,8.83,9.52,27632680,0
2003-02-10T00:00:00+05:30,9.6,9.99,8.88,8.97,16720300,0
2003-02-11T00:00:00+05:30,9.15,9.24,8.97,9.03,6026560,0
